Label, PI value, Time [s], OMP Threads, Iteration No.
Simple Parallel execution, 3.141593, 0.335697, 98, 0
Simple Parallel execution, 3.141593, 0.331851, 99, 0
Simple Parallel execution, -nan, 0.330260, 100, 0
Simple Parallel execution, 3.141593, 0.326772, 101, 0
Simple Parallel execution, 3.141593, 0.324231, 102, 0
Simple Parallel execution, 3.141593, 0.320064, 103, 0
Simple Parallel execution, 3.141593, 0.316565, 104, 0
Simple Parallel execution, 3.141593, 0.313120, 105, 0
Simple Parallel execution, 3.141593, 0.310538, 106, 0
Simple Parallel execution, 3.141593, 0.307579, 107, 0
Simple Parallel execution, 3.141593, 0.304825, 108, 0
Simple Parallel execution, 3.141593, 0.302687, 109, 0
Simple Parallel execution, 3.141593, 0.301018, 110, 0
Simple Parallel execution, -nan, 0.299193, 111, 0
Simple Parallel execution, 3.141593, 0.296157, 112, 0
Simple Parallel execution, 3.141593, 0.293854, 113, 0
Simple Parallel execution, 3.141593, 0.293026, 114, 0
Simple Parallel execution, 3.141593, 0.290185, 115, 0
Simple Parallel execution, 3.141593, 0.287250, 116, 0
Simple Parallel execution, 3.141593, 0.285673, 117, 0
Simple Parallel execution, 3.141593, 0.283359, 118, 0
Simple Parallel execution, 3.141593, 0.282348, 119, 0
Simple Parallel execution, 3.141593, 0.279964, 120, 0
Simple Parallel execution, 3.141593, 0.278081, 121, 0
Simple Parallel execution, 3.141593, 0.272683, 122, 0
Simple Parallel execution, 3.141593, 0.387908, 123, 0
Simple Parallel execution, 3.141593, 0.569828, 124, 0
Simple Parallel execution, 3.141593, 0.729409, 125, 0
Simple Parallel execution, 3.141593, 0.865357, 126, 0
Simple Parallel execution, 3.141593, 0.979548, 127, 0
Simple Parallel execution, 3.141593, 1.113835, 128, 0
Padded Parallel Execution, 3.141593, 1.736230, 1, 0
Padded Parallel Execution, 3.141593, 0.872655, 2, 0
Padded Parallel Execution, 3.141593, 0.581977, 3, 0
Padded Parallel Execution, 3.141593, 0.437710, 4, 0
Padded Parallel Execution, 3.141593, 0.353866, 5, 0
Padded Parallel Execution, 3.141593, 0.292677, 6, 0
Padded Parallel Execution, 3.141593, 0.250256, 7, 0
Padded Parallel Execution, 3.141593, 0.218775, 8, 0
Padded Parallel Execution, 3.141593, 0.195847, 9, 0
Padded Parallel Execution, 3.141593, 0.175485, 10, 0
Padded Parallel Execution, 3.141593, 0.159392, 11, 0
Padded Parallel Execution, 3.141593, 0.146097, 12, 0
Padded Parallel Execution, 3.141593, 0.134818, 13, 0
Padded Parallel Execution, 3.141593, 0.125429, 14, 0
Padded Parallel Execution, 3.141593, 0.117447, 15, 0
Padded Parallel Execution, 3.141593, 0.109726, 16, 0
Padded Parallel Execution, 3.141593, 0.102847, 17, 0
Padded Parallel Execution, 3.141593, 0.098028, 18, 0
Padded Parallel Execution, 3.141593, 0.093259, 19, 0
Padded Parallel Execution, 3.141593, 0.087731, 20, 0
Padded Parallel Execution, 3.141593, 0.084066, 21, 0
Padded Parallel Execution, 3.141593, 0.080083, 22, 0
Padded Parallel Execution, 3.141593, 0.076291, 23, 0
Padded Parallel Execution, 3.141593, 0.073654, 24, 0
Padded Parallel Execution, 3.141593, 0.071369, 25, 0
Padded Parallel Execution, 3.141593, 0.067448, 26, 0
Padded Parallel Execution, 3.141593, 0.065932, 27, 0
Padded Parallel Execution, 3.141593, 0.062992, 28, 0
Padded Parallel Execution, 3.141593, 0.061910, 29, 0
Padded Parallel Execution, 3.141593, 0.058845, 30, 0
Padded Parallel Execution, 3.141593, 0.057504, 31, 0
Padded Parallel Execution, 3.141593, 0.055563, 32, 0
Padded Parallel Execution, 3.141593, 0.055683, 33, 0
Padded Parallel Execution, 3.141593, 0.053073, 34, 0
Padded Parallel Execution, 3.141593, 0.052145, 35, 0
Padded Parallel Execution, 3.141593, 0.050781, 36, 0
Padded Parallel Execution, 3.141593, 0.049724, 37, 0
Padded Parallel Execution, 3.141593, 0.047373, 38, 0
Padded Parallel Execution, 3.141593, 0.045935, 39, 0
Padded Parallel Execution, 3.141593, 0.044210, 40, 0
Padded Parallel Execution, 3.141593, 0.044083, 41, 0
Padded Parallel Execution, 3.141593, 0.043306, 42, 0
Padded Parallel Execution, 3.141593, 0.041166, 43, 0
Padded Parallel Execution, 3.141593, 0.041119, 44, 0
Padded Parallel Execution, 3.141593, 0.039299, 45, 0
Padded Parallel Execution, 3.141593, 0.039400, 46, 0
Padded Parallel Execution, 3.141593, 0.037747, 47, 0
Padded Parallel Execution, 3.141593, 0.037862, 48, 0
Padded Parallel Execution, 3.141593, 0.037043, 49, 0
Padded Parallel Execution, 3.141593, 0.035735, 50, 0
Padded Parallel Execution, 3.141593, 0.035724, 51, 0
Padded Parallel Execution, 3.141593, 0.033832, 52, 0
Padded Parallel Execution, 3.141593, 0.033802, 53, 0
Padded Parallel Execution, 3.141593, 0.033330, 54, 0
Padded Parallel Execution, 3.141593, 0.032402, 55, 0
Padded Parallel Execution, 3.141593, 0.031829, 56, 0
Padded Parallel Execution, 3.141593, 0.032520, 57, 0
Padded Parallel Execution, 3.141593, 0.030833, 58, 0
Padded Parallel Execution, 3.141593, 0.031066, 59, 0
Padded Parallel Execution, 3.141593, 0.032541, 60, 0
Padded Parallel Execution, 3.141593, 0.029436, 61, 0
Padded Parallel Execution, 3.141593, 0.030322, 62, 0
Padded Parallel Execution, 3.141593, 0.029090, 63, 0
Padded Parallel Execution, 3.141593, 0.028795, 64, 0
Padded Parallel Execution, 3.141593, 0.028136, 65, 0
Padded Parallel Execution, 3.141593, 0.028083, 66, 0
Padded Parallel Execution, 3.141593, 0.027364, 67, 0
Padded Parallel Execution, 3.141593, 0.027969, 68, 0
Padded Parallel Execution, 3.141593, 0.027427, 69, 0
Padded Parallel Execution, 3.141593, 0.027453, 70, 0
Padded Parallel Execution, 3.141593, 0.028143, 71, 0
Padded Parallel Execution, 3.141593, 0.026866, 72, 0
Padded Parallel Execution, 3.141593, 0.027844, 73, 0
Padded Parallel Execution, 3.141593, 0.025935, 74, 0
Padded Parallel Execution, 3.141593, 0.026295, 75, 0
Padded Parallel Execution, 3.141593, 0.025867, 76, 0
Padded Parallel Execution, 3.141593, 0.026277, 77, 0
Padded Parallel Execution, 3.141593, 0.024584, 78, 0
Padded Parallel Execution, 3.141593, 0.024964, 79, 0
Padded Parallel Execution, 3.141593, 0.025342, 80, 0
Padded Parallel Execution, 3.141593, 0.024182, 81, 0
Padded Parallel Execution, 3.141593, 0.023888, 82, 0
Padded Parallel Execution, 3.141593, 0.023765, 83, 0
Padded Parallel Execution, 3.141593, 0.023621, 84, 0
Padded Parallel Execution, 3.141593, 0.024364, 85, 0
Padded Parallel Execution, 3.141593, 0.023541, 86, 0
Padded Parallel Execution, 3.141593, 0.023364, 87, 0
Padded Parallel Execution, 3.141593, 0.023647, 88, 0
Padded Parallel Execution, 3.141593, 0.022586, 89, 0
Padded Parallel Execution, 3.141593, 0.022919, 90, 0
Padded Parallel Execution, 3.141593, 0.023189, 91, 0
Padded Parallel Execution, 3.141593, 0.023027, 92, 0
Padded Parallel Execution, 3.141593, 0.022753, 93, 0
Padded Parallel Execution, 3.141593, 0.021702, 94, 0
Padded Parallel Execution, 3.141593, 0.021384, 95, 0
Padded Parallel Execution, 3.141593, 0.021180, 96, 0
Padded Parallel Execution, 3.141593, 0.021668, 97, 0
Padded Parallel Execution, 3.141593, 0.021296, 98, 0
Padded Parallel Execution, 3.141593, 0.021122, 99, 0
Padded Parallel Execution, 3.141593, 0.020394, 100, 0
Padded Parallel Execution, 3.141593, 0.020330, 101, 0
Padded Parallel Execution, 3.141593, 0.020413, 102, 0
Padded Parallel Execution, 3.141593, 0.019697, 103, 0
Padded Parallel Execution, 3.141593, 0.020162, 104, 0
Padded Parallel Execution, 3.141593, 0.019429, 105, 0
Padded Parallel Execution, 3.141593, 0.019124, 106, 0
Padded Parallel Execution, 3.141593, 0.019308, 107, 0
Padded Parallel Execution, 3.141593, 0.019225, 108, 0
Padded Parallel Execution, 3.141593, 0.018649, 109, 0
Padded Parallel Execution, 3.141593, 0.019249, 110, 0
Padded Parallel Execution, -nan, 0.018933, 111, 0
Padded Parallel Execution, 3.141593, 0.018710, 112, 0
Padded Parallel Execution, 3.141593, 0.017989, 113, 0
Padded Parallel Execution, 3.141593, 0.018294, 114, 0
Padded Parallel Execution, 3.141593, 0.018502, 115, 0
Padded Parallel Execution, 3.141593, 0.017792, 116, 0
Padded Parallel Execution, 3.141593, 0.017794, 117, 0
Padded Parallel Execution, 3.141593, 0.017587, 118, 0
Padded Parallel Execution, 3.141593, 0.017246, 119, 0
Padded Parallel Execution, 3.141593, 0.017784, 120, 0
Padded Parallel Execution, 3.141593, 0.016910, 121, 0
Padded Parallel Execution, 3.141593, 0.016840, 122, 0
Padded Parallel Execution, 3.141593, 0.017145, 123, 0
Padded Parallel Execution, 3.141593, 0.016608, 124, 0
Padded Parallel Execution, 3.141593, 0.017065, 125, 0
Padded Parallel Execution, 3.141593, 0.016402, 126, 0
Padded Parallel Execution, 3.141593, 0.016470, 127, 0
Padded Parallel Execution, 3.166136, 0.016279, 128, 0
Critical Parallel Execution, 3.141593, 1.737969, 1, 0
Critical Parallel Execution, 3.141593, 1.726437, 2, 0
Critical Parallel Execution, 3.141593, 1.726427, 3, 0
Critical Parallel Execution, 3.141593, 1.726421, 4, 0
Critical Parallel Execution, 3.141593, 1.725270, 5, 0
Critical Parallel Execution, 3.141593, 1.728594, 6, 0
Critical Parallel Execution, 3.141593, 1.743144, 7, 0
Critical Parallel Execution, 3.141593, 1.730200, 8, 0
Critical Parallel Execution, 3.141593, 1.725590, 9, 0
Critical Parallel Execution, 3.141593, 1.725303, 10, 0
Critical Parallel Execution, 3.141593, 1.725447, 11, 0
Critical Parallel Execution, 3.141593, 1.724815, 12, 0
Critical Parallel Execution, 3.141593, 1.728224, 13, 0
Critical Parallel Execution, 3.141593, 1.733520, 14, 0
Critical Parallel Execution, 3.141593, 1.730215, 15, 0
Critical Parallel Execution, 3.141593, 1.728680, 16, 0
Critical Parallel Execution, 3.141593, 1.729635, 17, 0
Critical Parallel Execution, 3.141593, 1.731536, 18, 0
Critical Parallel Execution, 3.141593, 1.730261, 19, 0
Critical Parallel Execution, 3.141593, 1.723856, 20, 0
Critical Parallel Execution, 3.141593, 1.724024, 21, 0
Critical Parallel Execution, 3.141593, 1.723924, 22, 0
Critical Parallel Execution, 3.141593, 1.724181, 23, 0
Critical Parallel Execution, 3.141593, 1.724193, 24, 0
Critical Parallel Execution, 3.141593, 1.725399, 25, 0
Critical Parallel Execution, 3.141593, 1.724801, 26, 0
Critical Parallel Execution, 3.141593, 1.724193, 27, 0
Critical Parallel Execution, 3.141593, 1.725182, 28, 0
Critical Parallel Execution, 3.141593, 1.725530, 29, 0
Critical Parallel Execution, 3.141593, 1.729412, 30, 0
Critical Parallel Execution, 3.141593, 1.725398, 31, 0
Critical Parallel Execution, 3.141593, 1.724914, 32, 0
Critical Parallel Execution, 3.141593, 1.725153, 33, 0
Critical Parallel Execution, 3.141593, 1.724913, 34, 0
Critical Parallel Execution, 3.141593, 1.725817, 35, 0
Critical Parallel Execution, 3.141593, 1.725301, 36, 0
Critical Parallel Execution, 3.141593, 1.725151, 37, 0
Critical Parallel Execution, 3.141593, 1.725821, 38, 0
Critical Parallel Execution, 3.141593, 1.726316, 39, 0
Critical Parallel Execution, 3.141593, 1.725864, 40, 0
Critical Parallel Execution, 3.141593, 1.725622, 41, 0
Critical Parallel Execution, 3.141593, 1.725782, 42, 0
Critical Parallel Execution, 3.141593, 1.726853, 43, 0
Critical Parallel Execution, 3.141593, 1.726545, 44, 0
Critical Parallel Execution, 3.141593, 1.726891, 45, 0
Critical Parallel Execution, 3.141593, 1.726891, 46, 0
Critical Parallel Execution, 3.141593, 1.727849, 47, 0
Critical Parallel Execution, 3.141593, 1.727502, 48, 0
Critical Parallel Execution, 3.141593, 1.727539, 49, 0
Critical Parallel Execution, 3.141593, 1.727351, 50, 0
Critical Parallel Execution, 3.141593, 1.727390, 51, 0
Critical Parallel Execution, 3.141593, 1.727040, 52, 0
Critical Parallel Execution, 3.141593, 1.727374, 53, 0
Critical Parallel Execution, 3.141593, 1.727112, 54, 0
Critical Parallel Execution, 3.141593, 1.727187, 55, 0
Critical Parallel Execution, 3.141593, 1.727162, 56, 0
Critical Parallel Execution, 3.141593, 1.727574, 57, 0
Critical Parallel Execution, 3.141593, 1.726799, 58, 0
Critical Parallel Execution, 3.141593, 1.726963, 59, 0
Critical Parallel Execution, 3.141593, 1.726702, 60, 0
Critical Parallel Execution, 3.141593, 1.727852, 61, 0
Critical Parallel Execution, 3.141593, 1.726878, 62, 0
Critical Parallel Execution, 3.141593, 1.728911, 63, 0
Critical Parallel Execution, 3.141593, 1.728131, 64, 0
Critical Parallel Execution, 3.141593, 1.728071, 65, 0
Critical Parallel Execution, 3.141593, 1.727201, 66, 0
Critical Parallel Execution, 3.141593, 1.726625, 67, 0
Critical Parallel Execution, 3.141593, 1.726973, 68, 0
Critical Parallel Execution, 3.141593, 1.741407, 69, 0
Critical Parallel Execution, 3.141593, 1.730352, 70, 0
Critical Parallel Execution, 3.141593, 1.726863, 71, 0
Critical Parallel Execution, 3.141593, 1.726627, 72, 0
Critical Parallel Execution, 3.141593, 1.729698, 73, 0
Critical Parallel Execution, 3.141593, 1.731418, 74, 0
Critical Parallel Execution, 3.141593, 1.735292, 75, 0
Critical Parallel Execution, 3.141593, 1.753880, 76, 0
Critical Parallel Execution, 3.141593, 1.756329, 77, 0
Critical Parallel Execution, 3.141593, 1.765218, 78, 0
Critical Parallel Execution, 3.141593, 1.784729, 79, 0
Critical Parallel Execution, 3.141593, 1.776833, 80, 0
Critical Parallel Execution, 3.141593, 1.783493, 81, 0
Critical Parallel Execution, 3.141593, 1.787778, 82, 0
Critical Parallel Execution, 3.141593, 1.791859, 83, 0
Critical Parallel Execution, 3.141593, 1.798883, 84, 0
Critical Parallel Execution, 3.141593, 1.802788, 85, 0
Critical Parallel Execution, 3.141593, 1.801127, 86, 0
Critical Parallel Execution, 3.141593, 1.810723, 87, 0
Critical Parallel Execution, 3.141593, 1.809107, 88, 0
Critical Parallel Execution, 3.141593, 1.808521, 89, 0
Critical Parallel Execution, 3.141593, 1.813586, 90, 0
Critical Parallel Execution, 3.141593, 1.818590, 91, 0
Critical Parallel Execution, 3.141593, 1.821250, 92, 0
Critical Parallel Execution, 3.141593, 1.821723, 93, 0
Critical Parallel Execution, 3.141593, 1.827597, 94, 0
Critical Parallel Execution, 3.141593, 1.833214, 95, 0
Critical Parallel Execution, 3.141593, 1.834533, 96, 0
Critical Parallel Execution, 3.141593, 1.864747, 97, 0
Critical Parallel Execution, 3.141593, 1.888033, 98, 0
Critical Parallel Execution, 3.141593, 1.890952, 99, 0
Critical Parallel Execution, 3.141593, 1.902817, 100, 0
Critical Parallel Execution, 3.141593, 1.902135, 101, 0
Critical Parallel Execution, 3.141593, 1.908244, 102, 0
Critical Parallel Execution, 3.141593, 1.907317, 103, 0
Critical Parallel Execution, 3.141593, 1.924167, 104, 0
Critical Parallel Execution, 3.141593, 1.928742, 105, 0
Critical Parallel Execution, 3.141593, 1.942978, 106, 0
Critical Parallel Execution, 3.141593, 1.941361, 107, 0
Critical Parallel Execution, 3.141593, 1.942332, 108, 0
Critical Parallel Execution, 3.141593, 1.939306, 109, 0
Critical Parallel Execution, 3.141593, 1.941529, 110, 0
Critical Parallel Execution, 3.141593, 1.945425, 111, 0
Critical Parallel Execution, 3.141593, 1.946201, 112, 0
Critical Parallel Execution, 3.141593, 1.968453, 113, 0
