Label, PI value, Time [s], OMP Threads, Iteration No.
Serial Execution, 3.141593, 0.865479, 1, 0
Simple Parallel execution, 3.141593, 0.871200, 1, 0
Simple Parallel execution, 3.141593, 1.339186, 2, 0
Simple Parallel execution, 3.141593, 1.327250, 3, 0
Simple Parallel execution, 3.141593, 1.301257, 4, 0
Simple Parallel execution, 3.141593, 1.110928, 5, 0
Simple Parallel execution, 3.141593, 0.928867, 6, 0
Simple Parallel execution, 3.141593, 0.798601, 7, 0
Simple Parallel execution, 3.141593, 0.792565, 8, 0
Simple Parallel execution, 3.141593, 0.857499, 9, 0
Simple Parallel execution, 3.141593, 0.880374, 10, 0
Simple Parallel execution, 3.141593, 0.893523, 11, 0
Simple Parallel execution, 3.141593, 0.979066, 12, 0
Simple Parallel execution, 3.141593, 0.872945, 13, 0
Simple Parallel execution, 3.141593, 0.822288, 14, 0
Simple Parallel execution, 3.141593, 0.768385, 15, 0
Simple Parallel execution, 3.141593, 0.719408, 16, 0
Simple Parallel execution, 3.141593, 0.672639, 17, 0
Simple Parallel execution, 3.141593, 0.636286, 18, 0
Simple Parallel execution, 3.141593, 0.605858, 19, 0
Simple Parallel execution, 3.141593, 0.572658, 20, 0
Simple Parallel execution, 3.141593, 0.545267, 21, 0
Simple Parallel execution, 3.141593, 0.521962, 22, 0
Simple Parallel execution, 3.141593, 0.498233, 23, 0
Simple Parallel execution, 3.141593, 0.479174, 24, 0
Simple Parallel execution, 3.141593, 0.463088, 25, 0
Simple Parallel execution, 3.141593, 0.439480, 26, 0
Simple Parallel execution, 3.141593, 0.423299, 27, 0
Simple Parallel execution, 3.141593, 0.418220, 28, 0
Simple Parallel execution, 3.141593, 0.402665, 29, 0
Simple Parallel execution, 3.141593, 0.378781, 30, 0
Simple Parallel execution, 3.141593, 0.366234, 31, 0
Simple Parallel execution, 3.141593, 0.354939, 32, 0
Simple Parallel execution, 3.141593, 0.339297, 33, 0
Simple Parallel execution, 3.141593, 0.333333, 34, 0
Simple Parallel execution, 3.141593, 0.322781, 35, 0
Simple Parallel execution, 3.141593, 0.338945, 36, 0
Simple Parallel execution, 3.141593, 0.319107, 37, 0
Simple Parallel execution, 3.141593, 0.292895, 38, 0
Simple Parallel execution, 3.141593, 0.289197, 39, 0
Simple Parallel execution, 3.141593, 0.282465, 40, 0
Simple Parallel execution, 3.141593, 0.279860, 41, 0
Simple Parallel execution, 3.141593, 0.271970, 42, 0
Simple Parallel execution, 3.141593, 0.267426, 43, 0
Simple Parallel execution, 3.141593, 0.259550, 44, 0
Simple Parallel execution, 3.141593, 0.253074, 45, 0
Simple Parallel execution, 3.141593, 0.248837, 46, 0
Simple Parallel execution, 3.141593, 0.243866, 47, 0
Simple Parallel execution, 3.141593, 0.240361, 48, 0
Simple Parallel execution, 3.141593, 0.238768, 49, 0
Simple Parallel execution, 3.141593, 0.233982, 50, 0
Simple Parallel execution, 3.141593, 0.230316, 51, 0
Simple Parallel execution, 3.141593, 0.227179, 52, 0
Simple Parallel execution, 3.141593, 0.222042, 53, 0
Simple Parallel execution, 3.141593, 0.221059, 54, 0
Simple Parallel execution, 3.141593, 0.215131, 55, 0
Simple Parallel execution, 3.141593, 0.210606, 56, 0
Simple Parallel execution, -nan, 0.207319, 57, 0
Simple Parallel execution, 3.141593, 0.203820, 58, 0
Simple Parallel execution, 3.141593, 0.200700, 59, 0
Simple Parallel execution, 3.141593, 0.196452, 60, 0
Simple Parallel execution, 3.141593, 0.196025, 61, 0
Simple Parallel execution, 3.141593, 0.190039, 62, 0
Simple Parallel execution, 3.141593, 0.183782, 63, 0
Simple Parallel execution, 3.141593, 0.183634, 64, 0
Simple Parallel execution, 3.141593, 0.180660, 65, 0
Simple Parallel execution, 3.141593, 0.177615, 66, 0
Simple Parallel execution, 3.141593, 0.174990, 67, 0
Simple Parallel execution, -nan, 0.171189, 68, 0
Simple Parallel execution, -nan, 0.170063, 69, 0
Simple Parallel execution, 3.141593, 0.168510, 70, 0
Simple Parallel execution, 3.141593, 0.165342, 71, 0
Simple Parallel execution, 3.141593, 0.163253, 72, 0
Simple Parallel execution, 3.141593, 0.160518, 73, 0
Simple Parallel execution, 3.141593, 0.172838, 74, 0
Simple Parallel execution, 3.141593, 0.160263, 75, 0
Simple Parallel execution, -nan, 0.160672, 76, 0
Simple Parallel execution, -nan, 0.156004, 77, 0
Simple Parallel execution, 3.141593, 0.153993, 78, 0
Simple Parallel execution, 3.141593, 0.153372, 79, 0
Simple Parallel execution, 3.141593, 0.149450, 80, 0
Simple Parallel execution, 3.141593, 0.154049, 81, 0
Simple Parallel execution, 3.141593, 0.155045, 82, 0
Simple Parallel execution, 3.141593, 0.155210, 83, 0
Simple Parallel execution, 3.141593, 0.150136, 84, 0
