Label, PI value, Time [s], OMP Threads, Iteration No.
Serial Execution, 3.141593, 0.345209, 1, 0
Simple Parallel execution, 3.141593, 0.347014, 1, 0
Simple Parallel execution, 3.141593, 0.532823, 2, 0
Simple Parallel execution, 3.141593, 0.513283, 3, 0
Simple Parallel execution, 3.141593, 0.532427, 4, 0
Simple Parallel execution, 3.141593, 0.476324, 5, 0
Simple Parallel execution, 3.141593, 0.392731, 6, 0
Simple Parallel execution, 3.141593, 0.344111, 7, 0
Simple Parallel execution, 3.141593, 0.305391, 8, 0
Simple Parallel execution, 3.141593, 0.307140, 9, 0
Simple Parallel execution, 3.141593, 0.326013, 10, 0
Simple Parallel execution, 3.141593, 0.340044, 11, 0
Simple Parallel execution, 3.141593, 0.351610, 12, 0
Simple Parallel execution, 3.141593, 0.326713, 13, 0
Simple Parallel execution, 3.141593, 0.318405, 14, 0
Simple Parallel execution, 3.141593, 0.297594, 15, 0
Simple Parallel execution, 3.141593, 0.277840, 16, 0
Simple Parallel execution, 3.141593, 0.260860, 17, 0
Simple Parallel execution, 3.141593, 0.239216, 18, 0
Simple Parallel execution, 3.141593, 0.225177, 19, 0
Simple Parallel execution, 3.141593, 0.214408, 20, 0
Simple Parallel execution, 3.141593, 0.205277, 21, 0
Simple Parallel execution, 3.141593, 0.199437, 22, 0
Simple Parallel execution, 3.141593, 0.191047, 23, 0
Simple Parallel execution, 3.141593, 0.184748, 24, 0
Simple Parallel execution, 3.141593, 0.175892, 25, 0
Simple Parallel execution, 3.141593, 0.168408, 26, 0
Simple Parallel execution, 3.141593, 0.164046, 27, 0
Simple Parallel execution, 3.141593, 0.156899, 28, 0
Simple Parallel execution, 3.141593, 0.156621, 29, 0
Simple Parallel execution, 3.141593, 0.151483, 30, 0
Simple Parallel execution, 3.141593, 0.149037, 31, 0
Simple Parallel execution, 3.141593, 0.144772, 32, 0
Simple Parallel execution, 3.141593, 0.139404, 33, 0
Simple Parallel execution, 3.141593, 0.133761, 34, 0
Simple Parallel execution, 3.141593, 0.130059, 35, 0
Simple Parallel execution, 3.141593, 0.126124, 36, 0
Simple Parallel execution, 3.141593, 0.122309, 37, 0
Simple Parallel execution, 3.141593, 0.118523, 38, 0
Simple Parallel execution, 3.141593, 0.118947, 39, 0
Simple Parallel execution, 3.141593, 0.116955, 40, 0
Simple Parallel execution, 3.141593, 0.116116, 41, 0
Simple Parallel execution, 3.141593, 0.113514, 42, 0
Simple Parallel execution, 3.141593, 0.110492, 43, 0
Simple Parallel execution, 3.141593, 0.110212, 44, 0
Simple Parallel execution, 3.141593, 0.108544, 45, 0
Simple Parallel execution, 3.141593, 0.105260, 46, 0
Simple Parallel execution, 3.141593, 0.102021, 47, 0
Simple Parallel execution, 3.141593, 0.100827, 48, 0
